ytid,start_s,end_s,audioset_positive_labels,aspect_list,caption,author_id,is_balanced_subset,is_audioset_eval
3obJKn19jTE,30,40,"/m/03lty,/m/04rlf,/m/05r6t,/m/05rwpb,/m/05w3f,/m/06by7,/m/0dl5d","['grunge', 'rock', 'male vocal', 'distorted electric guitar', 'bass guitar', 'acoustic drums', 'muddy', 'loud', 'powerful', 'rebellious']",This is a grunge rock music piece. A distorted electric guitar playing power chords leads the tune with a bass guitar in the background. Loud acoustic drums provide the rhythmic background while also playing a lot of fills. There is also a male vocal. The music has a rebellious atmosphere mixed with a rough sound that is characteristic of the grunge scene. This piece could be used as a soundtrack in college drama movies/TV series. It could also be used in advertisements targeted at teenagers.,9,False,True
42xehaGoJbc,30,40,"/m/01xqw,/m/02qmj0d,/m/0l14_3","['live recording', 'violins', 'layers of violins', 'thrilling', 'exciting', 'suspenseful', 'string instruments', 'poor audio quality']","This is a live recording. The audio quality is poor. We hear a string section with layers of violins that are playing a motif which sounds exciting, suspenseful, and thrilling. It immediately gets you feeling on edge.",3,False,False
577NM64YL18,110,120,/m/0l14t7,"['haunting music', 'cinematic music', 'high pitched sound', 'live recording', 'poor audio quality', 'high pitched humming instrument', 'sombre tone']","This is a live recording with low audio  quality. It seems like the kind of music that would feature in a sombre, mysterious, and perhaps haunting movie. The instruments are layers of sustained, high-pitched synths.",3,False,False
5Y_mT93tkvQ,30,40,"/m/04rlf,/m/0cfdd","['instrumental', 'fast tempo', 'percussion', 'percussion sounds', 'drum beats', 'drumming patterns', 'synthesized electronic tones', 'hip-hop', 'rap', 'rock', 'kick drum', 'snare', 'hi-hat', 'drum kit imitation', 'digital drum', 'drum machine', 'energetic', 'rhythmic beat', 'catchy', 'punchy', 'vibrant', 'enthusiastic', 'snare', 'groovy', 'cymbal', 'beat']","This music is a percussion instrumental. The tempo is fast with an energetic drum machine rhythm.no other instrument has been used.It is vibrant, enthusiastic, bright, simple, energetic, and groovy.",7,False,True
63rqIYPHvlc,30,40,"/m/025_jnm,/m/02cz_7,/m/04rlf","['beatbox', 'finger snipping', 'male voice', 'amateur recording', 'medium tempo']",Someone is beatboxing while doing a bassline with his voice. Finger snipping can be heard supporting the beat. This song may be playing at a talent show.,6,False,True
68DacKw1hlE,80,90,"/m/04rlf,/m/064t9,/t/dd00035","['pop', 'funk', 'male vocal', 'melodic singing', 'keyboard', 'bass guitar', 'electronic drums', 'groovy', 'danceable', 'energetic']","This is a pop/funk music piece. There is a male vocalist singing melodically in the lead. The main melody is being played by the keyboard while the bass guitar is playing a groovy bass line in the background. The rhythm consists of an electronic drum beat. The atmosphere is groovy. This piece could be used in the soundtrack of a crime/comedy movie, especially during the scenes where a character is trying hard to appear as a villain.",9,False,False
6_zzu2KON6c,80,90,"/m/01b9nn,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw","['home video', 'poor audio quality', 'sound check', 'deep', 'emotional', 'passionate', 'blues influences', 'instrumental music', 'guitar solo', 'tremolo effect', 'guitar amplifier', 'guitar lead', 'echo tone', 'solo guitar', 'bad audio recording', 'no other instrumentation', 'guitar technique', 'moody blues', 'spirited', 'passionate', 'medium tempo', 'blues lick']",A male guitarist plays a cool guitar like on an electric guitar. The song is medium tempo with a guitar solo with heavy a[echoes played though a guitar amplifier and no other instrumentation. The song is bluesy and passionate. The song is a casual blue slick played on a guitar.,1,False,True
73YTz8RC2Fo,30,40,"/m/04rlf,/t/dd00003","['low quality', 'passionate male vocal', 'playback instrumental', 'straight piano chords', 'reverberant', 'loud', 'noisy', 'live performance', 'passionate', 'powerful', 'emotional']","The low quality recording features a passionate male vocal singing over playback instrumental that consists of straight piano chord progression. It is noisy and reverberant, as the singer is singing in a larger room. It sounds emotional, passionate and powerful.",4,False,True
7EvLwfwRrqA,30,40,/m/05pd6,"['classical orchestra', 'string section', 'timpanie', 'brass section', 'horn section', 'epic feel', 'no voice', 'instrumental', 'complex arrangement']","This classical song features an orchestra playing a complex song. The string section plays the main melody. The horn section plays the bass harmony. The brass section plays the backing parts. The bass is played on a cello. At the beginning there is no percussion. Toward the end, the timpani is played as part of the percussion. The melody is complex. The mood of this song is epic and victorious. This song can be played in a successful bank robbery scene.",0,False,False
7LGLhQFiE0s,30,40,"/m/04rlf,/t/dd00034","['male singer', 'slow tempo', 'love song', 'korean song', 'duet', 'female vocals', 'foreign language', 'foreign music', 'world music', 'soft pop', 'keyboard harmony', 'ambient', 'korean love song', 'k-pop', 'mellow', 'emotional', 'gentle', 'melodic', 'piano accompaniment', 'minimal instruments', 'emotional', 'pleasant', 'young love', 'romantic piano']","A male vocalist sings this soft melody. The tempo is slow with soft , ambient piano /keyboard accompaniment. The song is mellow,melodic, romantic, soothing, emotional, idyllic, charming and dreamy. There is a female vocal at the onset of this clip indicating that this could be a duet.",7,False,True
8ZK1ajW598M,110,120,"/m/04rlf,/m/06j64v","['low quality', 'live performance', 'traditional', 'mono', 'noisy', 'wooden percussions', 'plucked strings melody', 'harmonizing male vocals', 'passionate', 'soulful']","The low quality recording features a live performance of a traditional song that consists of harmonizing male vocals singing over plucked strings melody and wooden percussion. It sounds passionate and soulful, but the recording is very noisy and in mono.",4,False,False
8hT2G2ew6-c,30,40,"/m/04rlf,/m/06j64v","['sufimusic', 'dulcimer', 'amateur recording']",This audio contains someone playing a melody on a dulcimer. The recording is full of reverb. This is an amateur recording and of poor audio-quality. This song may be playing in an oriental documentary.,6,False,False
8olHAhUKkuk,200,210,"/m/01p970,/m/0l14md","['hindi', 'percussion', 'accordion', 'female voice crying', 'sad', 'medium tempo']",You can hear percussion instruments playing a rhythm along with a tambourine. String instruments  are being plucked and also played with a bow providing the main melody. A female voice is crying. This song may be playing as part of a very sad movie scene.,6,False,False
AFWy1qyyMHE,30,40,"/m/04rlf,/m/06cqb,/m/0gywn","['roots reggae', 'chill', 'tropical', 'male vocals', 'vocal harmony', 'off beat guitar strums', 'phaser', ""1970's"", 'reggae drum beat', 'simple bassline']","Chill, tropical roots reggae music from the 1970's featuring a male vocalist, vocal harmonies, off beat guitar strums, phaser effect, a reggae drum beat and a simple bass part.",8,False,False
AaUZb-iRStE,80,90,"/m/04rlf,/m/06by7,/m/07sr1lc","['amateur recording', 'poor quality', 'heavy metal', 'live performance', 'distorted electric guitar', 'bass guitar', 'acoustic drums', 'crowd cheering', 'screaming']",This is an amateur recording of heavy metal music being performed live. The audio quality is quite poor. There is a distorted electric guitar playing the main tune while the bass guitar is playing in the background. There is a simple metal acoustic drum beat in the rhythmic background. Sounds from the crowd cheering and screaming can be heard.,9,False,False
Ah_aYOGnQ_I,30,40,"/m/02x8m,/m/04rlf,/m/07s72n,/m/08cyft","['low quality', 'shimmering bells', 'noisy', 'punchy snare', 'pulsating synth chords', 'snaps', 'punchy kick', 'addictive synth lead melody', 'shimmering open hats', 'shimmering tambourine', 'energetic', 'edm', 'pulsating', 'clapping', 'buzzy synth bass', 'dirty mix', 'messy']","The low quality recording features an EDM song that consists of shimmering bells, buzzy synth bass, pulsating synth chords, snaps, claps, punchy kick, shimmering open hats and tambourine hits. The recording is a bit noisy, but it sounds energetic. The mix is a bit dirty, which makes the song sound a bit messy in terms of frequencies.",4,False,True
B7iRvj8y9aU,30,40,"/m/04rlf,/m/06w87","['country music', 'rock', 'steel guitar', 'acoustic drums', 'bass guitar', 'calm', 'cozy', 'trippy', 'psychedelic', 'slow tempo']","This is a country music piece. A steel guitar is playing the main melody. There is a bass guitar in the background playing a mellow bass line. A slow tempo, mild-volume acoustic drum track is in the rhythmic background. The general atmosphere is relaxing. This piece could be used in the soundtrack of movies that take place in rural USA. It could also be played in western-themed bars.",9,False,True
BKQYrrJVg6g,370,380,"/m/04rlf,/m/0fd3y","['flutes', 'reverb effect', 'clarinet', 'percussion', 'bell-like sound', 'atmospheric', 'instrumental', 'no voice']",The music is purely instrumental and it features an atmospheric vibe. In the beginning two or more flutes are playing melodies which are overlapping because of an added reverb effect. I believe a clarinet can be heard in one instance. Percussion drums are also present and a bell-like sound can be heard in the second half of the music excerpt. I believe the purpose of this music is to create floating vibes.,2,False,True
Bd0PbyrG6H4,30,40,"/m/01v1d8,/m/025td0t,/m/02cjck,/m/04rlf,/m/0cfdd","['taiko drums', 'electronic sounds', 'orchestra', 'epic music']",The epic music excerpt starts off full force with an orchestral ensemble playing loud blocks of sound. The taiko drums play with the same rhythm the orchestra does. After a few seconds the volume is dialed down and one can hear a melody being created from electronic sounds and possibly a bass guitar. In the background a metallic percussive instrument is being played with bare hands.,2,False,True
BeFzozm_H5M,20,30,"/m/02v2lh,/m/04rlf","['synth pads', 'piano song', 'relaxing song', 'no voices', 'no percussion', 'instrumental', 'no other instruments', 'meditation music', 'slow tempo']",This song features synth pads playing one chord in the background. A chord melody is played on the piano. The melody played is sets of two chords being played in a pattern of one high chord followed by one lower pitch chord. This is an instrumental song. There are no voices in this song. There are no other instruments in this song. This song can be played in a meditation center.,0,False,False
BiQik0xsWxk,30,40,"/m/028sqc,/m/02mscn,/m/04rlf,/m/074ft","['soul', 'passionate male vocal', 'wide wooden percussions', 'punchy kick', 'groovy bass', 'wide sustained strings melody', 'mellow piano melody', 'shimmering hi hats', 'punchy snare', 'emotional', 'passionate']","The Soul song features a passionate male vocal singing over shimmering hi hats and shakers, groovy bass, widely spread wooden percussions, punchy kick and snare hits, wide sustained strings melody and mellow piano melody. It sounds emotional and passionate.",4,False,True
BrCW3BA8TIQ,30,40,"/m/02mscn,/m/04rlf","['gospel', 'christian', 'male vocal', 'melodic singing', 'piano', 'simple tune', 'religious', 'spiritual']",This is a Christian gospel music piece. There is a male vocalist singing melodically while the piano is gently playing a simple tune. The atmosphere is religious. This piece could be playing in the background at Christian religious events or Christian social media content.,9,False,False
C7OIuhWSbjU,40,50,"/m/04rlf,/t/dd00036","['heavy metal', 'female vocal', 'japanese', 'distorted electric guitar', 'bass guitar', 'pad', 'acoustic drums', 'rebellious', 'loud']",This is a heavy metal piece. There is a female singer upfront singing in medium pitch in the Japanese language. The distorted electric guitar is playing the melody while a relatively quieter bass guitar is accompanying it. The acoustic drums are playing an accentuated heavy metal beat full of rapid fills. A faint rhythmic pad can also be heard in the chorus. The general atmosphere of the song is energetic and rebellious. This piece could be used in an action-filled anime soundtrack.,9,False,True
CCFYOw8keiI,100,110,"/m/085jw,/m/0l14l2","['tv series music', 'instrumental', 'orchestral', 'brass section', 'percussion', 'gong', 'dramatic', 'suspense', 'revelation', 'movie music']",This is the theme playing in the background of a mythological TV series episode. It is an instrumental piece. There is a brass section playing a loud and dramatic melody. The rhythmic accompaniment is composed of the drums and some sort of big cymbal that is most probably a gong. The atmosphere is dramatic and full of suspense. There is an implied moment of revelation in the scene. The piece could be used in the soundtrack of a mystery movie during a scene where the plot begins to unfold and the secrets are revealed.,9,False,False
Czbi1u-gwUU,130,140,"/m/02w4v,/m/04rlf","['male voices singing', 'digital string sound', 'keyboard lead sound', 'percussion', 'acoustic drum', 'oriental instruments', 'e-bass', 'brass sounds', 'uptempo', 'amateur recording']",This song contains acoustic drums and percussion playing a complex rhythm along with a bassline. Some brass sounds come here and there to set accents. In the background you can hear a string sound playing a high note. A keyboard lead sound is playing the main melody along with a male voice singing with a melody on his own. This song may be playing at a celebration.,6,True,True
DHDn79ee98Q,30,40,"/m/04rlf,/m/07kc_","['cinematic', 'synth sounds', 'sound effects', 'timpani hits', 'disturbing']","This song contains synthesizer pads and plucks playing all over the place along with ringing sounds, timpani and snare hits. This song may be playing for a bossfight in a video-game.",6,False,True
DpS_TigOHWo,180,190,"/m/01b9nn,/m/0342h,/m/04rlf","['jam', 'no singer', 'instrumental', 'single instrument', 'electric guitar', 'guitar solo', 'effect pedal', 'reverb', 'easygoing', 'mellow', 'simple']",This is the recording of a gear showcase jam. The only instrument being played is an electric guitar. There is a solo being played while a reverb effect pedal is in use. The atmosphere is easygoing and the tunes are simple. Parts of this piece could be used as samples for beat-making. These samples could also work well for advertisement jingles.,9,False,True
DysXetu2I0E,30,40,"/m/02x8m,/m/04rlf,/m/0gywn","['funk/soul', 'e-guitars', 'e-bass', 'acoustic drums', 'male singer', 'keyboard-strings', 'medium tempo']",An acoustic drum is playing a hiphop/funk groove along with a bassline. One e-guitar is strumming a funk chord while the other guitar is playing a melody sequence and then the other guitar responds with a chord. The male voice sings in the mid to high range and at the end of the song a keyboard is playing a chord with a string sound. This song may be playing at home cleaning the house.,6,True,True
EhFWLbNBOxc,60,70,"/m/04rlf,/m/0b_fwt","['slow tempo', 'instrumental', 'rhythmic acoustic guitar', 'keyboard harmony', 'unrelated', 'syncopated', 'random', 'simple', 'minimal instrumentation', 'plucking', 'cheerful', 'peppy']","This music is an instrumental. The tempo is slow with a rhythmic guitar riff. The music abruptly ends to disown sound of a keyboard. The music is soft, mellow and cheerful plucking. There seems to be no connection between the two instruments.",7,False,True
FYwDTJtEzhk,0,10,"/m/04rlf,/m/07pxg6y","['audio recording from movie', 'blasting sounds', 'machine gun sounds', 'grunting sounds', 'bass sound', 'simple percussion']","This audio clip features a recording from a movie sequence. There are sounds of bombs blasting. There is the sound of a machine gun firing. The sound of a man grunting as if he is escaping from the firing gun. In the background, there is the sound of a bass playing one note in a repetitive sequence. A simple percussion plays in the background and a wind instrument plays a note.",0,False,True
FscE_AHEmFk,0,10,"/m/04rlf,/t/dd00034","['symphonic song', 'string section', 'instrumental', 'no voices', 'no percussion', 'slow tempo', 'orchestra', 'epic mood']",This symphonic song features a string section playing the main melody. There are multiple violins playing different parts in harmony. The music starts off with four ascending notes followed by one descending note which is stretched out. This is followed by a descending run. The song has an epic feel and can be played as a grand entrance theme of royalty.,0,False,False
FtskdD6Py7Y,30,40,"/m/02x8m,/m/04rlf","['beat boxing', 'cover', 'popular song', 'amateur recording']",Amateur recording of solo beat boxing of a cover of a popular song.,8,False,False
Fv9swdLA-lo,90,100,"/m/0164x2,/m/04rlf,/m/06rqw,/m/0g293","['country/folk', 'acoustic drums', 'e-bass', 'accordion', 'acoustic guitar', 'male voice singing', 'uptempo', 'positive energy']",A male voice is singing/shouting phrases while an acoustic drum is playing a dance groove along with an e-bass. On top of that a acoustic guitar is playing a melody and another one is strumming chords while an accordion is playing a loud melody that seems to be the lead. The drum fill-ins are panned to the left and right side of the speakers. This song sounds like the people are having fun. This song may be playing at a dance event in the countryside.,6,True,True
HAHn_zB47ig,80,90,"/m/025_jnm,/m/04rlf","['low quality', 'groovy finger snapping', 'noisy', 'uptempo', 'mono']","The low quality recording features a groovy finger snapping. It is uptempo and the recording is in mono and very noisy, as it was probably recorded with a phone.",4,False,True
Hvs6Xwc6-gc,30,40,"/m/02p0sh1,/m/04rlf","['ethiopian traditional music', 'live recording', 'male vocal', 'melancholic singing', 'masenqo', 'solemn', 'emotional']",This is the live recording of an Ethiopian traditional music piece. There is a male vocalist singing in a melancholic manner. The melodic background is composed of the Ethiopian bowed lute called masenqo. The atmosphere of the piece is solemn and emotional. This piece could be used in the soundtrack of a drama movie that takes place at an Ethiopian village.,9,False,False
IF-77lLlMzE,30,40,"/m/04rlf,/m/07qdb04,/t/dd00018","['instrumental', 'fast tempo', 'video game music', 'shooting', 'synthesiser arrangements', 'electronic sounds', 'pig grunting', 'toy', 'male talking', 'incessant grunting', 'two unrelated audios', 'intense']",This music is video game background music. The tempo is fast with aggressive synth articulation and electronic sounds like shooting and crashing . There is also a superimposed sound of a toy pig grunting incessantly with a man talking in the background.,7,False,True
IbJh1xeBFcI,100,110,"/m/01hgjl,/m/04rlf","['disc scratching', 'keyboard accompaniment', 'ambient room noises', 'knob turns', 'amateur production', 'whistle tones', 'dj face off', 'string section harmony', 'dj practice session', 'hissing tones', 'whistling tones', 'instrumental', 'techno drumming', 'vinyl', 'home dj', 'dj', 'dance music']","The song is an instrumental. The song is medium tempo, with disc scratching tones, whistling tones, keyboard accompaniment and techno drumming. The sound is poor audio quality, with ambient room noises.",1,False,True
InfQUMh935c,30,40,"/m/015lz1,/m/04rlf,/m/06by7,/m/07sbbz2","['low quality', 'rock', 'live performance', 'passionate male vocal', 'wide electric guitar melody', 'groovy bass guitar', 'shimmering hi hats', 'punchy kick', 'punchy snare', 'energetic', 'exciting']","The low quality recording features a live performance of a rock song and it consists of a passionate male vocal singing over groovy bass guitar, wide electric guitar melody, shimmering hi hats, punchy kick and snare hits. It sounds energetic and exciting.",4,False,False
JNw0A8pRnsQ,30,40,"/m/0192l,/m/085jw","['electronic bagpipe', 'drone', 'solo']",Solo electronic bagpipe.,8,False,False
Jk2mvFrdZTU,20,30,"/m/0164x2,/m/04rlf","['male vocalist', 'medium fast', 'foreign language', 'pop', 'hip-hop pop', 'groovy bass line', 'lively piano', 'digital drums', 'synthesiser arrangements', 'youthful', 'spirited', 'dance groove', 'club music', 'dance pop', 'dance music', 'groovy', 'funky', 'youthful', 'high spirited']","A male vocalist sings this energetic pop song. The tempo is fast with piano accompaniment, bright digital drumming, synthesiser arrangements and groovy bass lines. The song is youthful, fresh, catchy, vivacious, upbeat, sprightly and buoyant with a dance groove. This song is a Hip-Hop Pop song.",7,False,False
L5Uu_0xEZg4,80,90,"/m/0164x2,/m/04rlf,/m/06cqb,/m/074ft","['south asian dance music', 'reggae style rhythm', 'brass instruments', 'trumpets', 'autotuned vocal', 'background shouting', 'background ad-libs', 'vibrant']","The song is a traditional south asian dance song with clear reggae influences. It is upbeat, vibrant and features bouncy reggae percussion. There are brass instruments playing cheerful motifs, and the lead singer has reverb and ample autotune applied to his vocal. There's a background vocalist adding shouted ad-libs to the song.",3,False,True
LCMQXFKMLIM,110,120,"/m/03m5k,/m/0d8_n","['low quality', 'mono', 'arpeggiated harp melody', 'noisy', 'passionate', 'emotional']","The low quality recording features an arpeggiated harp melody playing. It sounds passionate, emotional and the recording is noisy and in mono.",4,False,False
LRfVQsnaVQE,30,40,"/m/02p0sh1,/m/04rlf","['folk music', 'saxophone', 'hand claps', 'instrumental', 'no voices', 'tambourine', 'bass drum']",This instrumental folk music features the main melody being played on a saxophone and a bowed instrument like a rebab. Both instruments play the same melody. This is accompanied by hand claps at every count of the bar. A bass drum is played on every count of the bar. A tambourine is playing a rhythmic beat. A bass is playing the same melody as the saxophone at a lower octave. There are no voices in this song. This song can be played at a celebration party.,0,True,True
MHHshnnqyco,220,230,"/m/02p0sh1,/m/04rlf,/m/04szw,/m/06j64v,/m/0fx80y,/m/0l14_3","['khaliji music', 'live performance', 'orchestra', 'violin', 'oud', 'percussion', 'riq', 'darbuka', 'claps', 'vibrant', 'eastern sounding']","This is a live performance of a Khaliji music piece. There is an orchestra performing the piece. The melody is being played by the oud and the violin. The rhythmic background is composed of various percussive elements such as the riq, the darbuka and performers clapping their hands. The atmosphere is vibrant. This piece could be playing in the background at an Arab cuisine restaurant.",9,False,False
MYtq46rNsCA,30,40,"/m/04rlf,/t/dd00002","['sound effects', 'strings', 'electronic drums', 'clarinet', 'laser', 'generic', 'common']",This is a theme in the background of a cartoon. The strings are playing an agitated melody interchanged with a calm playing clarinet. There is a laser beam sound effect when the characters appear on screen. The usual atmosphere is made up of very generic and commonplace sounds. The piece can be used in the background of an animated video.,9,False,True
Mp1MHSeHa0o,0,10,"/m/04rlf,/m/07kc_","['low quality', 'mystical', 'haunting', 'suspenseful', 'wide synth pad', 'soft sustained strings', 'mellow harp melody', 'soft toms', 'reverberant rimshot', 'strummed strings', 'thriller']","The low quality recording features a wide synth pad, soft sustained strings, mellow harp melody, soft toms, reverberant rimshots and strummed strings. It sounds mystical, suspenseful and haunting, like something you would hear as the background music of a thriller movie.",4,False,False
NC5tIv4-8fg,130,140,"/m/04rlf,/m/06j6l","['r&b', 'wide background female vocals', 'passionate female vocal', 'shimmering cymbals', 'punchy kick', 'punchy snare', 'groovy bass guitar', 'wide electric guitar melody', 'passionate', 'emotional', 'addictive']","The R&B song features a passionate female vocal, alongside wide background female vocals, singing over shimmering cymbals, punchy kick and snare hits, groovy bass guitar and wide electric guitar melody. It sounds passionate, emotional and addictive - like something you would hear in clubs a lot.",4,False,False
NIcsJ8sEd0M,30,40,"/m/028sqc,/m/02w4v,/m/04rlf","['oriental folk song', 'male voice', 'high pitched voice', 'chinese fiddle', 'oriental percussion', 'flute', 'slow tempo', 'tremulous voice']",This song is an oriental folk song featuring a male voice singing at a high pitch. The voice is tremulous. This is accompanied by the Chinese fiddle playing a melody similar to the main voice. A flute also plays the same melody as the voice. The percussion plays random beats leaving a lot of room in between. This song can be played in an Asian movie where a man is trying to woo a girl in a village.,0,False,True
NXuB3ZEpM5U,30,40,"/m/01xqw,/m/02fsn,/m/0d8_n,/m/0l14_3","['instrumental', 'slow tempo', 'amplified cello harmony', 'bow stringed instrument', 'four stringed instrument', 'string instrument', 'digital drumming', 'ukelele accompaniment', 'boomy bass', 'violin', 'steady drumming', 'soft', 'soothing', 'engaging', 'captivating', 'mesmerising', 'melodious']","This is a melodious instrumental. The tempo is slow with a cello harmony, ukulele accompaniment, boomy bass and steady drumming. The music is soft, mellow, ethereal, classic, soothing, captivating and mellifluous.",7,False,False
NgniX3tg_Mo,50,60,"/m/01p970,/m/026t6,/m/0l14md","['low quality', 'traditional', 'live performance', 'noisy', 'mono', 'flat male vocal', 'mellow wooden percussion', 'sustained strings melody', 'passionate', 'emotional', 'people talking', 'cough']","The low quality recording features a live performance of a traditional song and it consists of a flat male vocal singing over sustained strings melody and mellow, subtle percussive element. There are some people talking in the background, followed by a cough. It sounds passionate and emotional, even though the recording is noisy and in mono.",4,False,False
OS4YFp3DiEE,250,260,"/m/04rlf,/m/05r5wn,/m/06j64v","['instrumental', 'medium fast', 'arabic music', 'minimalist', 'traditional music', 'egyptian oud', 'stringed instrument', 'lilting', 'rich', 'middle eastern cultural music', 'regional musc', 'folk music', 'classical', 'static', 'inferior audio quality', 'oud melody', 'hand percussion']","This music is an Arabic instrumental. The tempo is medium fast with a harmonious oud and Arabic hand percussion. The music is lilting, spirited, engaging, pleasant, traditional , middle eastern folk music.",7,False,False
PQrYV7hJWDg,30,40,"/m/03r5q_,/m/04rlf","['pop', 'educational', 'female vocal', 'out-of-tune singing', 'strings', 'acoustic guitar', 'acoustic drums', 'generic', 'bland', 'monotonous']",This is an educational pop music piece. There is a female vocalist singing out-of-tune. The strings and the acoustic guitar are playing a simple tune while the rhythmic background is provided by a basic acoustic drum beat. The aura of the piece is generic and monotonous. The quality of the recording is subpar. It might be useful in the class setting.,9,False,True
PTCsH-ffeq4,380,390,"/m/04rlf,/t/dd00037","['cinematic', 'horror music', 'synth strings', 'disturbing noises', 'heart beat', 'medium to upbeat']","This audio contains wind sounds, disturbing noises, a heart that is beating and dissonant synth strings in the background creating a scary atmosphere and tension. On top of that a synthesizer is playing a scary melody. This song may be playing in a horror film-scene.",6,False,False
